date;txVolume(USD);adjustedTxVolume(USD);txCount;marketcap(USD);price(USD);exchangeVolume(USD);realizedCap(USD);generatedCoins;fees;activeAddresses;averageDifficulty;paymentCount;medianTxValue(USD);medianFee;blockSize;blockCount
14/07/2013;5.249.908.673.846.880;27.420.005.089.384.900;34761;11.266.932.401.731.900;98.7;0.0;5.743.347.462.333.830;4300.0;2.293.218.923;48402;261.628.756.825.699;54355;38.581.830.000.000.000;0.0005;16754549;172
15/07/2013;6.151.268.493.164.000;3.471.108.029.339.390;36590;10.689.605.055.674.700;93.61;0.0;5.754.529.700.094.070;4100.0;2.233.268.606;62325;2.616.287.568.257;54442;61.013.664.993.599.900;0.0005;17218211;164
16/07/2013;8.791.157.891.217.590;4.296.381.721.445.130;39228;11.296.668.270.341.700;98.89;0.0;5.753.896.180.654.780;4100.0;358.771.154;66221;2.616.287.568.257;56593;98.543.885;0.0005;18198318;164
17/07/2013;9.525.461.316.439.590;3.420.504.348.165.240;40459;1105201880.0;96.71;0.0;5.752.774.230.078.410;4600.0;3.368.340.783;63007;261.628.756.825.699;55732;766.157.045.152;0.0005;18567169;184
18/07/2013;9.194.928.261.772.950;4.435.325.508.725.040;41009;11.260.544.630.437.100;98.5;0.0;5.739.498.278.360.620;4025.0;3.738.979.778;63178;2.616.287.568.257;55420;7.714.031.735.500.000;0.0005;18856393;161
19/07/2013;6.937.507.277.755.620;386.771.382.276.546;36588;10.300.675.409.999.900;90.07;0.0;5.736.975.459.547.390;4275.0;2.111.963.162;58759;261.628.756.825.699;52068;72.056;0.0005;16577830;171
20/07/2013;4.247.104.814.126.350;2.339.344.914.595.540;33516;1.052.568.577.916.990;92.0;0.0;573.586.528.727.952;4650.0;22.977.264.350.000.000;52399;261.628.756.825.699;51542;324.442.462;0.0005;15450057;186
21/07/2013;41.848.023.681.884.500;20.538.708.289.565.400;35257;10.280.401.540.722.700;89.82;0.0;5.739.967.209.866.030;4975.0;2.455.597.227;51123;261.628.756.825.699;50383;477.798.774.426;0.0005;16528811;199
22/07/2013;7.790.764.493.312.980;283.772.887.288.014;39814;10.534.046.005.021.200;92.0;0.0;574.255.422.227.536;4125.0;327.694.805;60318;271.816.926.916.097;53307;6.330.687.347.999.990;0.0005;18139277;165
23/07/2013;8.328.477.337.674.200;3.466.889.165.884.120;38291;10.491.287.119.380.400;91.6;0.0;5.746.527.176.723.490;3525.0;2.144.867.879;64299;312.569.607.277.689;55498;7.881.735.282;0.0005;17521382;141
24/07/2013;799.629.468.499.408;3.583.700.780.604.370;42202;1094878700.0;95.56;0.0;5.752.899.722.131.440;3975.0;356.200.614;65888;312.569.607.277.689;61447;554.248;0.0005;19877316;159
25/07/2013;7.153.660.110.906.440;34.362.324.905.790.400;42384;1.083.081.037.987.610;94.5;0.0;5.763.343.195.962.790;3650.0;3.378.420.434;66440;312.569.607.277.689;57311;58.574.682.495;0.0005;20480288;146
26/07/2013;7.056.459.133.468.960;3.350.475.190.502.850;37209;11.115.655.744.636.500;96.95;0.0;5.770.510.804.206.640;4100.0;2.032.379.372;62558;312.569.607.277.689;51200;83.520.577.133;0.0005;17334076;164
27/07/2013;4.158.844.201.155.150;21.956.945.658.526.800;36711;11.012.833.908.408.400;96.02;0.0;5.774.066.614.194.260;4525.0;3.214.157.306;52438;312.569.607.277.689;48919;363.216.553.554;0.0005;17155660;181
28/07/2013;5.463.939.316.124.380;25.423.812.843.455.300;37134;10.831.045.299.438.600;94.4;0.0;5.787.771.979.398.760;4200.0;2.382.217.431;49179;312.569.607.277.689;50683;35.883.505.472;0.0005;17479805;168
29/07/2013;7.030.930.909.233.960;3.681.031.416.920.130;41634;1131775170.0;98.6;0.0;5.792.509.109.369.270;4450.0;3.041.102.588;67473;312.569.607.277.689;57617;74.572.290.236;0.0005;19724655;178
30/07/2013;977.650.439.036.453;43.999.964.511.749.800;41936;1165450266.0;101.49;0.0;5.818.987.225.433.550;4.924.999;3.766.696.925;69872;312.569.607.277.689;56922;846.368.151.909;0.0005;19708660;197
31/07/2013;8.628.870.938.967.890;4.494.447.098.668.440;49334;1.240.145.793.008.760;107.95;0.0;584.038.924.103.821;4750.0;4.924.699.101;80899;312.569.607.277.689;65448;7.112.605.066.100.000;0.0005;23772142;190
01/08/2013;11.746.286.343.898.600;4.739.337.328.180.030;50727;1220623735.5;106.21;0.0;5.844.377.537.290.700;4425.0;3.834.057.257;114305;312.569.607.277.689;98813;66.402.492;0.0005;23986021;177
02/08/2013;8.901.979.898.665.440;40.308.029.852.408.800;51489;12.056.262.796.086.100;104.86;0.0;586.759.138.577.499;4800.0;29.130.207.600.000.000;74758;312.569.607.277.689;66377;654.754.784.558;0.0005;22985769;192
03/08/2013;6.500.195.491.649.380;37.639.687.682.128.100;45576;12.019.775.969.807.600;104.5;0.0;5.912.648.292.543.720;4250.0;2.643.529.564;60484;341.443.985.671.598;58434;28.215.000.000.000.000;0.0005;21318295;170
04/08/2013;4.995.621.467.972.270;22.501.006.839.480.500;42767;12.076.111.358.293.700;104.95;0.0;5.923.770.322.579.930;4475.0;3.150.890.033;60253;373.927.661.364.746;55926;31.295.065.688;0.0005;20296723;179
05/08/2013;8.298.395.069.971.480;4.000.344.128.964.240;50812;1210015296.0;105.12;0.0;5.940.010.843.176.250;4725.0;2.784.873.298;73171;373.927.661.364.746;66794;52.56;0.0005;23017657;189
06/08/2013;7.528.114.489.945.580;3.406.619.760.472.770;54179;1228752736.0;106.72;0.0;5.945.796.159.106.860;4750.0;416.806.571;71546;373.927.661.364.746;68382;265.653.891.232;0.0005;23926193;190
